Taxa,CommonName,Family,Order,Class,include,Juv.cut.cm,fishcode,WL_Non.standard,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,WL_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,VBGF.Linf,VBGF.k,VBGF.t0,VBGF.Linf.F,VBGF.k.F,VBGF.t0.F,VBGF.Linf.M,VBGF.k.M,VBGF.t0.M,VBGF_input_length,VBGF.Reference,VBGF_Reference_Notes,LC.a._for_VBGF,LC.b._for_VBGF,LC_type_for_VBGF,LL_reference_for_VBGF,LL_equation_for_VBGF,F_Type,F_a,F_b,F_L_units,F_input_length,DescriptionA,Output.units,F_Citation,Size_Mature_cm,SM_input_length,F_SM_Notes,guild,description,LETTER.6,Code,pisco_classcode,crane_code,VGR.code,RCCA.code,KFM.species.number,KFM.species.code,LTER.code,rigbase.fishcode,rigbase_Scientific_Name,rigbase_Common_Name,rigbase_sp_sub_gp,rigbase_species_grp,rigbase_Family,rigbase_category,spelling.old.name,Max_Length_fishbase,No.Lat,So.Lat,lim_min_in,TrophicGroup,BroadTrophic,Targeted,Notes_TG,Biomass_Buster
Atherinops affinis,topsmelt,Atherinopsidae,Atheriniformes,Actinopterygii,1,10,,NA,3.83E-06,3.238,g,mm,SL,Williams et al. 2013,,1.1934,-0.00192,REVERSE,Williams et al. 2013,TL= 1.1934 *SL + -0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1.1934,-0.00192,REVERSE,Williams et al. 2013,TL= 1.1934 *SL + -0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,water column  benthic foragers  schooling  diurnal herbivores,ATHAFF,14400,AAFF,AAFF,Atherinops affinis,,NA,,,,,,,,,,,37,50,23,NA,planktivore,planktivore,Non-targeted,,1
Atherinopsis californiensis,jacksmelt,Atherinopsidae,Atheriniformes,Actinopterygii,1,10,,NA,1.03E-05,3.0114,g,mm,SL,Williams et al. 2013,,1.2181,-0.23293,REVERSE,Williams et al. 2013,TL= 1.2181 *SL + -2.3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1.2181,-0.23293,REVERSE,Williams et al. 2013,TL= 1.2181 *SL + -2.3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,water column  pelagic mesocarnivores,ATHCAL,20011,ACAL,ACAL,Atherinopsis californiensis,,NA,,,,,,,,,,,45,44,28,NA,planktivore,planktivore,Non-targeted,,1
Artedius corallinus,coralline sculpin,Cottidae,Scorpaeniformes,Actinopterygii,1,3,CORAL,NA,3.19E-05,2.8831,g,mm,SL,Williams et al. 2013,,0.8414,-0.10798,TYPICAL,VRG unpublished data,(SL = aTL+b)cm,11.7,0.36,0,NA,NA,NA,NA,NA,NA,TL,used Clinocottus analis,,NA,NA,NA,VRG unpublished data,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,,ARTCOR,36415,ACOR,ACOR,Artedius corallinus,,NA,,,CORAL,Artedius corallinus,coralline sculpin,SCULPIN,SCULPIN,Cottidae,,,14,48,30,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Anisotremus davidsonii,sargo,Haemulidae,Perciformes,Actinopterygii,1,10,,NA,1.64E-05,3.1266,g,mm,SL,Williams et al. 2013,,1.2345,0.5784,REVERSE,Williams et al. 2013,TL= 1.2345 *SL + 5.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1.2345,0.5784,REVERSE,Williams et al. 2013,TL= 1.2345 *SL + 5.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,substrate associated  nocturnal generalists,ANIDAV,15600,ADAV,ADAV,Anisotremus davidsonii,Sargo,NA,,,,,,,,,,Anisotremus davidsoni,58,NA,NA,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Aulorhynchus flavidus,tubesnout,Aulorhynchidae,Gasterosteiformes,Actinopterygii,1,5,A_FLAV,NA,1.62E-07,3.43,g,mm,TL,Bayer 1980,,NA,NA,NA,,,19.9,0.5,-2.31,NA,NA,NA,NA,NA,NA,TL,Bayer 1980 ,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,substrate associated  water column foragers  selective feeding  usually benthic refugers  diurnal,AULFLA,16800,AFLA,AFLA,Aulorhynchus flavidus,,NA,,,A_FLAV,Aulorhynchus flavidus,tubesnout,,,Gasterosteidae,,,18,57,27,NA,planktivore,planktivore,Non-targeted,,1
Alloclinus holderi,island kelpfish,Labrisomidae,Perciformes,Actinopterygii,1,5,A_HOLD,NA,0.008303,3.089217,g,cm,TL,Love unpublished data,,NA,NA,NA,,,NA,NA,NA,156.5,0.054,-1.1,32.3,0.57,-0.35,TL,used Heterostichus rostratus (Stepien 1986),,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,substrate associated  benthic foragers  pickers and scrapers  diurnal,ALLHOL,37501,AHOL,AHOL,Alloclinus holderi,,14027,Alloclinus holderi,AHOL,A_HOLD,Alloclinus holderi,island kelpfish,CLINID,CLINID,Clinidae,,,10,34,27,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Atractoscion nobilis,white seabass,Sciaenidae,Perciformes,Actinopterygii,1,10,A_NOBI,NA,2.97E-05,2.8724,g,mm,SL,Williams et al. 2013,,1.1527,1.1294,REVERSE,Williams et al. 2013,TL= 1.1527 *SL + 11.294,146.5,0.128,-0.2805,NA,NA,NA,NA,NA,NA,TL,Thomas 1968,TL cm,1.1527,1.1294,REVERSE,Williams et al. 2013,TL= 1.1527 *SL + 11.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ATRNOB,15201,ANOB,ANOB,Atractoscion nobilis,,NA,,,A_NOBI,Atractoscion nobilis,white seabass,,,Sciaenidae,,,166,58,24,28,piscivore,piscivore,Targeted,,0
Anarrhichthys ocellatus,wolf-eel,Anarhichadidae,Perciformes,Actinopterygii,1,10,WOLFEL,NA,5.03E-06,3.091,g,mm,TL,RecFIN,,NA,NA,NA,,,62,0.14,-1.95,NA,NA,NA,NA,NA,NA,TL,used Cebidichthys violaceus (Marshall 1992),,NA,NA,NA,,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,,ANAOCE,NA,AOCE,AOCE,Anarrhichthys ocellatus,,NA,,,WOLFEL,Anarrhichthys ocellatus,wolf-eel,WOLFFISH,WOLFFISH,Anarhichadidae,Other fishes,,240,57,32,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Apodichthys sactaerosae,kelp gunnel,Pholidae,Perciformes,Actinopterygii,1,10,,NA,1.12E-06,3.42744,g,mm,TL,used Gymnothorax mordax,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,ASAN,USAN,,,NA,,,,,,,,,,,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Atherinopsidae,New World silversides,Atherinopsidae,Atheriniformes,Actinopterygii,1,10,,NA,3.83E-06,3.238,g,mm,SL,used Atherinops affinis,,1.1934,-0.00192,REVERSE,used Atherinops affinis,TL= 1.1934 *SL + -0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,FishBase,TL=1.127SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,,NA,14300,ATHE,ATHE,Atherinopsidae,,NA,,,,,,,,,,Atherinops sp.,NA,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
Baitball,unidentified baitfish,NA,NA,NA,0,10,,NA,3.83E-06,3.238,g,mm,SL,used Atherinops affinis,,1.1934,-0.00192,REVERSE,used Atherinops affinis,TL= 1.1934 *SL + -0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,FishBase,TL=1.127SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,99122,BAITBALL,BAITBALL,Baitball,,NA,,,,,,,,,,Bait,NA,NA,NA,NA,planktivore,planktivore,Targeted,,1
Bathymasteridae sp.,ronquil,Bathymasteridae,Perciformes,Actinopterygii,1,10,,NA,1.14E-06,3.442696,g,mm,TL,used Rathbunella hypoplecta,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,BATH,BATH,,,NA,,,,,,,,,,,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Brachyistius frenatus,kelp surfperch,Embiotocidae,Perciformes,Actinopterygii,1,5,KELPSP,NA,5.00E-06,3.3596,g,mm,SL,Miller et al. 2008,,0.7823,0.53443,TYPICAL,VRG unpublished data,(SL = aTL+b)cm,12.87,0.63,-0.45,NA,NA,NA,NA,NA,NA,SL,used Cymatogater aggregata,,1.18,0,REVERSE,VRG unpublished data,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,substrate associated  water column foragers  benthic foragers  schooling  often benthic refuging  diurnal  pickers,BRAFRE,39991,BFRE,BFRE,Brachyistius frenatus,,NA,,BFRE,KELPSP,Brachyistius frenatus,kelp surfperch,SURFPERCH,SURFPERCH,Embiotocidae,,,22,50,27,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Balistes polylepis,finescale triggerfish,Balistidae,Tetraodontiformes,Actinopterygii,1,10,,NA,0.0547,2.66,g,cm,TL,Barroso-Soto et al. 2007,,NA,NA,NA,,,55.8,0.17,-1.7,NA,NA,NA,NA,NA,NA,NA,Barroso-Soto et al 2007,cm TL,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,substrate associated crushers,BALPOL,99111,BPOL,BPOL,Balistes polylepis,,NA,,,,,,,,,,,76,41,-30,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Myliobatis californica,batray,Myliobatidae,Myliobatiformes,Elasmobranchii,1,10,BAT,NA,2.32E-05,2.9433,g,mm,DW,Williams et al. 2013,,NA,NA,NA,,,NA,NA,NA,158.7,0.0955,-2.059,199.1,0.059,-2.86,DW,Martin and Cailliet 1988,DW cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,substrate associated crushers,MYLCAL,39008,BRAY,BRAY,Myliobatis californica,,NA,,BRAY,BAT,Myliobatis californica,bat ray,RAY,RAY,Myliobatidae,Rays,Myliobatus californica,180,44,23,NA,benthic macro-invertivore,carnivore,Non-targeted,,0
Cymatogaster aggregata,shiner perch,Embiotocidae,Perciformes,Actinopterygii,1,5,C_AGGR,NA,2.08E-05,3.0721,g,mm,SL,Williams et al. 2013,,1.2398,0.18277,REVERSE,Williams et al. 2013,TL= 1.2398 *SL + 1.8277,12.87,0.63,-0.45,NA,NA,NA,NA,NA,NA,SL,Eckmayer 1979, SL cm (k@0.063 unrealistic- changed to 0.63,1.2398,0.18277,REVERSE,Williams et al. 2013,TL= 1.2398 *SL + 1.8277,NS,NA,NA,NA,NA,#Embryos=1.131 + 0.313wt(g),# embryos,Wilson 1960,1,TL,Implemented manually in R Code (no size at maturity used assume 5cm fish are mature since 1yr olds are mature according to this reference),8,substrate associated  water column foragers  benthic foragers  schooling  often benthic refuging  diurnal  pickers,CYMAGG,39992,CAGG,CAGG,Cymatogaster aggregata,,NA,,CAGG,C_AGGR,Cymatogaster aggregata,shiner surfperch,SURFPERCH,SURFPERCH,Embiotocidae,,,20.3,56,30,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Citharichthys sp.,sanddab,Paralichthyidae,Pleuronectiformes,Actinopterygii,1,10,SANDAB,NA,0.00552,3.232454,g,cm,TL,used Citharichthys sordidus,,NA,NA,NA,,,30,0.3,-2.43,NA,NA,NA,NA,NA,NA,TL,used Citharichthys sordidus,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,33801,CITH,CITH,,,NA,,,SANDAB,Citharichthys spp.,unidentified sanddab,FLATFISH,FLATFISH,Paralichthyidae,Flatfishes,Citharichthys sp,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Targeted,,1
Clinidae,kelp blennies,Clinidae,Perciformes,Actinopterygii,1,10,KELPF,NA,4.80E-06,3.2364,g,mm,SL,used Gibbonsia elegans,,1.1532,-0.03716,REVERSE,used Gibbonsia elegans,TL= 1.1532 *SL + -0.3716,NA,NA,NA,156.5,0.054,-1.1,32.3,0.57,-0.35,TL,used Heterostichus rostratus (Stepien 1986),(both sexes extreme in a different way - try to find alternative if possible,NA,NA,NA,used Gibbonsia elegans ,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,NA,37500,CLIN,CLIN,Clinidae,,NA,,CLIN,KELPF,Clinidae,unidentified kelpfish,KELPFISH,KELPFISH,Clinidae,,Clinidae sp,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Cottidae,sculpins,Cottidae,Scorpaeniformes,Actinopterygii,1,10,SCULPN,NA,3.19E-05,2.8831,g,mm,SL,used Artedius corallinus,,0.8414,-0.10798,TYPICAL,used Artedius corallinus,(SL = aTL+b)cm,NA,NA,NA,61.5,0.17,-1.19,41.5,0.45,-1.22,TL,used Scorpaenichthys marmoratus,,NA,NA,NA,Used Artedius corallinus,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,,NA,36000,COTT,COTT,Cottidae,,NA,,COTT,SCULPN,Cottidae,unidentified sculpin,SCULPIN,SCULPIN,Cottidae,Other fishes,Cottidae sp,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Caulolatilus princeps,ocean whitefish,Malacanthidae,Perciformes,Actinopterygii,1,10,C_PRIN,NA,3.04E-06,3.22,g,mm,TL,RecFIN,,NA,NA,NA,,,77.874,0.23,-0.02,NA,NA,NA,NA,NA,NA,TL,Cooksey 1980 ,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,substrate associated  non-schooling  diurnal  engulfers,CAUPRI,39005,CPRI,CPRI,Caulolatilus princeps,,NA,,CAPR,C_PRIN,Caulolatilus princeps,ocean whitefish,,,Malacanthidae,,,102,50,-10,NA,benthic micro-invertivore,carnivore,Targeted,,1
Chromis punctipinnis,blacksmith,Pomacentridae,Perciformes,Actinopterygii,1,10,BSMITH,NA,2.69E-05,3.0177,g,mm,SL,Williams et al. 2013,,1.27,0,REVERSE,FishBase,TL=1.27SL,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,1.146,0,REVERSE,FishBase,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,substrate associated  water column foragers  selective feeding  usually benthic refugers  diurnal,CHRPUN,15500,CPUN,CPUN,Chromis punctipinnis,blacksmith,14001,Chromis punctipinnis Adult,CPUN,BSMITH,Chromis punctipinnis,blacksmith,DAMSELFISH,DAMSELFISH,Pomacentridae,,,25,36,27,NA,planktivore,planktivore,Non-targeted,,1
Cheilotrema saturnum,black croaker,Sciaenidae,Perciformes,Actinopterygii,1,10,,NA,3.83E-05,2.9088,g,mm,SL,Williams et al. 2013,,1.1944,0.13972,REVERSE,Williams et al. 2013,TL= 1.1944 *SL + 1.3972,237.7,0.31,-1.78,NA,NA,NA,NA,NA,NA,NA,Miller et al 2008 (CalCOFI),cm SL,1.1944,0.13972,REVERSE,Williams et al. 2013,TL= 1.1944 *SL + 1.3972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,substrate associated  nocturnal generalists,CHESAT,15200,CSAT,CSAT,Cheilotrema saturnum,,NA,,,,,,,,,,,45,34,24,NA,benthic micro-invertivore,carnivore,Targeted,,1
Citharichthys sordidus,Pacific sanddab,Paralichthyidae,Pleuronectiformes,Actinopterygii,1,10,C_SORD,NA,0.00552,3.232454,g,cm,TL,Love and Nishimoto unpublished data,,NA,NA,NA,,,30,0.3,-2.43,NA,NA,NA,NA,NA,NA,TL,Beverton and Holt 1959,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,CITSOR,NA,CSOR,CSOR,,,NA,,,C_SORD,Citharichthys sordidus,Pacific sanddab,FLATFISH,FLATFISH,Paralichthyidae,Flatfishes,,41,60,23,NA,benthic micro-invertivore,carnivore,Targeted,,1
Citharichthys stigmaeus,speckled sanddab,Paralichthyidae,Pleuronectiformes,Actinopterygii,1,10,C_STIG,NA,8.33E-06,3.1996,g,mm,SL,Williams et al. 2013,,1.1699,0.0648,REVERSE,Williams et al. 2013,TL= 1.1699 *SL + 0.648,30,0.3,-2.43,NA,NA,NA,NA,NA,NA,TL,used Citharichthys sordidus,,1.1699,0.0648,REVERSE,Williams et al. 2013,TL= 1.1699 *SL + 0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,,CITSTI,13801,CSTI,CSTI,,,NA,,CSTI,C_STIG,Citharichthys stigmaeus,speckled sanddab,FLATFISH,FLATFISH,Paralichthyidae,Flatfishes,,17,60,23,NA,benthic micro-invertivore,carnivore,Targeted,,1
Cephaloscyllium ventriosum,swell shark,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,1,10,C_VENT,NA,3.00E-06,3.1276,g,mm,TL,Williams et al. 2013,,NA,NA,NA,,,154.4,0.168,-1.271,NA,NA,NA,NA,NA,NA,TL,used Mustelus californicus,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,substrate associated  nocturnal,CEPVEN,39014,CVEN,CVEN,Cephaloscyllium ventriosum,,NA,,CVEN,C_VENT,Cephaloscyllium ventrosum,swell shark,SHARK,SHARK,Scyliorhinidae,Sharks,,100,36,-30,NA,piscivore,piscivore,Non-targeted,,?
Cebidichthys violaceus,monkeyface prickleback,Stichaeidae,Perciformes,Actinopterygii,1,10,,NA,0.01289,2.9,g,cm,SL,Marshall and Escheverria 1992,,0.91,0,TYPICAL,used Chirolophis japonicus (FishBase),,72,0.1,-1.89,NA,NA,NA,NA,NA,NA,NA,Marshall and Echeverria 1992,cm SL,NA,NA,NA,used Chirolophis japonicus (FishBase),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,CEBVIO,NA,CVIO,,,,NA,,,,,,,,,,,76,41,30,NA,herbivore,herbivore,Targeted,,1
Embiotoca jacksoni,black surfperch,Embiotocidae,Perciformes,Actinopterygii,1,10,E_JACK,NA,8.00E-06,3.3244,g,mm,SL,Miller et al. 2008,,0.799,-0.407,TYPICAL,RecFIN,(SL = aTL+b)cm,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Froeschke et al. 2007,SL cm,1.146,0,REVERSE,RecFIN,(SL = aTL+b)cm,NS,NA,NA,NA,NA,annual embryo production,NA,Like Claisse 2012 - need to add origional refs since this species didn't make it to that paper,19,TL,(Female L50 -??),11,substrate associated  benthic foragers  schooling/nonscholloing  diurnal generalists,EMBJAC,39993,EJAC,EJAC,Embiotoca jacksoni,black perch,14015,Embiotoca jacksoni Adult,EJAC,E_JACK,Embiotoca jacksoni,black surfperch,SURFPERCH,SURFPERCH,Embiotocidae,Sea perches,,39,39,26,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Embiotoca lateralis,striped seaperch,Embiotocidae,Perciformes,Actinopterygii,1,10,E_LATE,NA,1.54E-05,3.01,g,mm,TL,RecFIN,,NA,NA,NA,,,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,1.146,0,REVERSE,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,,EMBLAT,20012,ELAT,ELAT,Embiotoca lateralis,striped seaperch,14017,Embiotoca lateralis Adult,ELAT,E_LATE,Embiotoca lateralis,striped surfperch,SURFPERCH,SURFPERCH,Embiotocidae,Sea perches,,38,56,31,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Embiotocidae,surfperches,Embiotocidae,Perciformes,Actinopterygii,1,10,SURF_P,NA,8.00E-06,3.3244,g,mm,SL,used Embiotoca jacksoni,,0.799,-0.407,TYPICAL,RecFIN,(SL = aTL+b)cm,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,1.146,0,REVERSE,RecFIN,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,,NA,39990,EMBI,EMBI,,,NA,,EMBI,SURF_P,Embiotocidae,unidentified surfperch,SURFPERCH,SURFPERCH,Embiotocidae,Sea perches,,NA,NA,NA,NA,planktivore,carnivore,Non-targeted,,1
